time,evXh,evYh,evZh,evXm,evYm,evZm,qTildeWh,qTildeXh,qTildeYh,qTildeZh,qTildeWm,qTildeXm,qTildeYm,qTildeZm,zStar,zStarHath,zStarHatm,zTildeh,zTildem,desImageWrtImageZhatPX,desImageWrtImageZhatPY,desImageWrtImageZhatPZ,desImageWrtImagePX,desImageWrtImagePY,desImageWrtImagePZ,desImageWrtImageZhatQW,desImageWrtImageZhatQX,desImageWrtImageZhatQY,desImageWrtImageZhatQZ,desImageWrtImageQW,desImageWrtImageQX,desImageWrtImageQY,desImageWrtImageQZ,vcXh,vcYh,vcZh,vcXm,vcYm,vcZm,wcXh,wcYh,wcZh,wcXm,wcYm,wcZm,
7.61914,-49.8343,-95.4048,0.129944,-70.0002,-668.56,0.637155,0.849037,-0.0035841,0.26442,0.45739,0.734655,-0.424155,0.458564,0.264752,2.22718,0.01,-0.0758832,2.21718,2.30306,0,0,0,0.924384,-1.07505,0.525498,0,0,0,0,0.847747,1.43257e-06,-0.265201,-0.459341,0,0,0,-0.323898,-2.80969,0.46764,0,0,0,0.440325,-0.331445,-0.296458,
7.62999,-50.0656,-96.1415,0.132891,-47.5638,-106.985,0.133452,0.848675,-0.000642232,0.269308,0.455219,0.847049,3.83473e-06,0.265757,0.460305,2.22718,0.01,-0.21804,2.21718,2.44522,0.934909,-1.05368,0.533707,0.92521,-1.07678,0.526523,0.848259,0.000663978,-0.269614,-0.455813,0.847365,-1.93838e-07,-0.265504,-0.459869,-0.194426,-0.410748,0.100032,-0.287629,-0.449587,0.0969917,0.00208624,-0.281176,-0.477059,-3.51708e-06,-0.277859,-0.481263,
7.63069,-50.2446,-96.3257,0.133431,-46.7198,-107.169,0.135258,0.850687,0.0160382,0.265086,0.453655,0.846634,4.52601e-06,0.266088,0.460877,2.22718,0.00916432,-0.218842,2.21802,2.44602,0.934909,-1.05368,0.533707,0.920847,-1.08739,0.533091,0.848259,0.000663978,-0.269614,-0.455813,0.845996,1.12643e-06,-0.266594,-0.461755,-0.195648,-0.411968,0.100418,-0.285136,-0.451873,0.0986468,-0.0139428,-0.281417,-0.473835,-4.10007e-06,-0.278107,-0.481692,
7.66424,-50.3022,-96.9646,0.136551,-46.6799,-107.475,0.13594,0.848377,0.0238358,0.278076,0.449848,0.845576,3.01527e-06,0.266927,0.462333,2.22718,0.00680757,-0.221289,2.22037,2.44847,0.94558,-1.0453,0.538715,0.927592,-1.092,0.536086,0.849984,-0.0160345,-0.265673,-0.45463,0.845156,-3.01548e-06,-0.267259,-0.462908,-0.197426,-0.416529,0.103019,-0.286052,-0.453512,0.0992058,-0.0175984,-0.294756,-0.468701,-2.96938e-06,-0.278736,-0.482784,
7.69597,-50.6271,-97.3823,0.132979,-46.7462,-107.844,0.136866,0.847319,0.0117379,0.270575,0.456839,0.844387,-4.38181e-07,0.267868,0.463958,2.22718,0.00467824,-0.223479,2.2225,2.45066,0.947311,-1.02896,0.581665,0.929252,-1.09757,0.539783,0.847797,-0.0238184,-0.278563,-0.45064,0.843813,-2.89907e-06,-0.268319,-0.464741,-0.198886,-0.41551,0.0999354,-0.287964,-0.455552,0.0999431,-0.00918941,-0.285003,-0.476562,7.00787e-07,-0.279441,-0.484004,
7.72372,-50.9814,-97.9638,0.129805,-46.3216,-108.326,0.137941,0.842653,-0.00411425,0.266635,0.467787,0.843218,4.28528e-06,0.268786,0.46555,2.22718,0.00267931,-0.225466,2.2245,2.45265,0.948853,-1.05232,0.548453,0.934801,-1.10294,0.543402,0.846681,-0.0117308,-0.271095,-0.457713,0.842747,-4.47116e-06,-0.269155,-0.46619,-0.20045,-0.415467,0.0972041,-0.287866,-0.458275,0.10089,0.00299263,-0.277132,-0.487665,-3.92544e-06,-0.28013,-0.485197,
7.76425,-51.2626,-98.3339,0.142821,-40.288,-109.026,0.138451,0.841061,-0.00229148,0.266084,0.470968,0.846805,1.47348e-06,0.265957,0.46064,2.22718,-0.000508277,-0.228338,2.22769,2.45552,0.935471,-1.08471,0.519504,0.957871,-1.09657,0.538205,0.842066,0.004111,-0.26709,-0.468584,0.845762,9.88043e-07,-0.266786,-0.462074,-0.20591,-0.425854,0.108255,-0.263104,-0.463155,0.102298,0.000774078,-0.276831,-0.489984,2.30981e-07,-0.278009,-0.481514,
7.79916,-51.3422,-98.7949,0.130222,-30.6328,-109.621,0.138425,0.83994,-0.00495568,0.268871,0.471364,0.852946,3.0355e-06,0.261,0.452065,2.22718,-0.00337775,-0.230521,2.23056,2.4577,0.938059,-1.09141,0.518577,0.993189,-1.08193,0.528146,0.840485,0.00228611,-0.266529,-0.471743,0.851014,-8.10763e-06,-0.262575,-0.454786,-0.204521,-0.418703,0.0973915,-0.222266,-0.46823,0.103848,0.00381402,-0.278637,-0.490444,-2.64487e-06,-0.274291,-0.475083,
7.83764,-51.6593,-98.9799,0.140959,-17.8969,-109.58,0.138652,0.838139,0.00106864,0.266869,0.475714,0.860989,9.25354e-07,0.254314,0.440479,2.22718,-0.00634045,-0.232094,2.23352,2.45927,0.941609,-1.09332,0.523912,1.05244,-1.04992,0.509922,0.839144,0.00495153,-0.26948,-0.472433,0.860604,-9.23614e-07,-0.25464,-0.441044,-0.209552,-0.426709,0.10649,-0.167584,-0.471617,0.106086,-0.00275973,-0.277927,-0.493244,-2.20743e-07,-0.269276,-0.466394,
7.86468,-51.8692,-99.3132,0.15292,-9.22241,-109.086,0.138681,0.847428,0.0162299,0.249332,0.46844,0.866309,7.95593e-06,0.249756,0.432586,2.22718,-0.00857986,-0.23289,2.23576,2.46007,0.94259,-1.10141,0.522426,1.08692,-1.02881,0.499612,0.837393,-0.00107785,-0.267442,-0.476704,0.865904,-7.9529e-06,-0.250107,-0.433194,-0.21409,-0.436303,0.116917,-0.130158,-0.47183,0.107473,-0.0197464,-0.266548,-0.486566,-6.5494e-06,-0.265859,-0.460473,
